Postinumeroalue,Postinumeroalueen nimi,Kunta,Kunnan nimi,Kuntaryhmä,Maakunta,Maakunnan nimi
00100,Helsinki keskusta - Etu-Töölö,091,Helsinki,1,01,Uusimaa
00120,Punavuori - Bulevardi,091,Helsinki,1,01,Uusimaa
00130,Kaartinkaupunki,091,Helsinki,1,01,Uusimaa
00140,Kaivopuisto - Ullanlinna,091,Helsinki,1,01,Uusimaa
00150,Punavuori - Eira - Hernesaari,091,Helsinki,1,01,Uusimaa
00160,Katajanokka,091,Helsinki,1,01,Uusimaa
00170,Kruununhaka,091,Helsinki,1,01,Uusimaa
00180,Kamppi - Ruoholahti,091,Helsinki,1,01,Uusimaa
00190,Suomenlinna,091,Helsinki,1,01,Uusimaa
00200,Pohjois-Lauttasaari,091,Helsinki,1,01,Uusimaa
00210,Vattuniemi,091,Helsinki,1,01,Uusimaa
00220,Jätkäsaari,091,Helsinki,1,01,Uusimaa
00230,Helsinki postikeskus,091,Helsinki,1,01,Uusimaa
00240,Länsi-Pasila,091,Helsinki,1,01,Uusimaa
00250,Taka-Töölö,091,Helsinki,1,01,Uusimaa
00260,Keski-Töölö,091,Helsinki,1,01,Uusimaa
00270,Pohjois-Meilahti,091,Helsinki,1,01,Uusimaa
00280,Ruskeasuo,091,Helsinki,1,01,Uusimaa
00290,Meilahden sairaala-alue,091,Helsinki,1,01,Uusimaa
00300,Pikku Huopalahti,091,Helsinki,1,01,Uusimaa
00310,Kivihaka,091,Helsinki,1,01,Uusimaa
00320,Etelä-Haaga,091,Helsinki,1,01,Uusimaa
00330,Munkkiniemi,091,Helsinki,1,01,Uusimaa
00340,Kuusisaari - Lehtisaari,091,Helsinki,1,01,Uusimaa
00350,Munkkivuori - Niemenmäki,091,Helsinki,1,01,Uusimaa
00360,Pajamäki,091,Helsinki,1,01,Uusimaa
00370,Reimarla,091,Helsinki,1,01,Uusimaa
00380,Pitäjänmäen yritysalue,091,Helsinki,1,01,Uusimaa
00390,Konala,091,Helsinki,1,01,Uusimaa
00400,Pohjois-Haaga,091,Helsinki,1,01,Uusimaa
00410,Malminkartano,091,Helsinki,1,01,Uusimaa
00420,Kannelmäki,091,Helsinki,1,01,Uusimaa
00430,Maununneva - Kuninkaantammi,091,Helsinki,1,01,Uusimaa
00440,Lassila,091,Helsinki,1,01,Uusimaa
00500,Sörnäinen - Harju,091,Helsinki,1,01,Uusimaa
00510,Alppila - Vallila,091,Helsinki,1,01,Uusimaa
00520,Itä- ja Keski-Pasila,091,Helsinki,1,01,Uusimaa
00530,Kallio,091,Helsinki,1,01,Uusimaa
00540,Kalasatama - Sompasaari,091,Helsinki,1,01,Uusimaa
00550,Vallila - Hermanni,091,Helsinki,1,01,Uusimaa
00560,Toukola - Kumpula - Vanhakaupunki,091,Helsinki,1,01,Uusimaa
00570,Kulosaari,091,Helsinki,1,01,Uusimaa
00580,Kalasatama - Kyläsaari,091,Helsinki,1,01,Uusimaa
00590,Kruunuvuorenranta,091,Helsinki,1,01,Uusimaa
00600,Koskela,091,Helsinki,1,01,Uusimaa
00610,Käpylä,091,Helsinki,1,01,Uusimaa
00620,Metsälä - Etelä-Oulunkylä,091,Helsinki,1,01,Uusimaa
00630,Maunula,091,Helsinki,1,01,Uusimaa
00640,Oulunkylä - Patola,091,Helsinki,1,01,Uusimaa
00650,Veräjämäki,091,Helsinki,1,01,Uusimaa
00660,Länsi-Pakila,091,Helsinki,1,01,Uusimaa
00670,Paloheinä,091,Helsinki,1,01,Uusimaa
00680,Itä-Pakila,091,Helsinki,1,01,Uusimaa
00690,Torpparinmäki,091,Helsinki,1,01,Uusimaa
00700,Malmi,091,Helsinki,1,01,Uusimaa
00710,Pihlajamäki - Viikinmäki,091,Helsinki,1,01,Uusimaa
00720,Pukinmäki,091,Helsinki,1,01,Uusimaa
00730,Tapanila,091,Helsinki,1,01,Uusimaa
00740,Siltamäki,091,Helsinki,1,01,Uusimaa
00750,Tapulikaupunki,091,Helsinki,1,01,Uusimaa
00760,Puistola - Heikinlaakso,091,Helsinki,1,01,Uusimaa
00770,Jakomäki - Alppikylä,091,Helsinki,1,01,Uusimaa
00780,Tapaninvainio,091,Helsinki,1,01,Uusimaa
00790,Viikki,091,Helsinki,1,01,Uusimaa
00800,Länsi-Herttoniemi,091,Helsinki,1,01,Uusimaa
00810,Herttoniemenranta,091,Helsinki,1,01,Uusimaa
00820,Roihuvuori,091,Helsinki,1,01,Uusimaa
00830,Tammisalo,091,Helsinki,1,01,Uusimaa
00840,Yliskylä,091,Helsinki,1,01,Uusimaa
00850,Jollas,091,Helsinki,1,01,Uusimaa
00860,Santahamina,091,Helsinki,1,01,Uusimaa
00870,Gunillanmäki - Hevossalmi,091,Helsinki,1,01,Uusimaa
00880,Keski-Herttoniemi - Roihupelto,091,Helsinki,1,01,Uusimaa
00890,Östersundom,091,Helsinki,1,01,Uusimaa
00900,Puotinharju,091,Helsinki,1,01,Uusimaa
00910,Puotila,091,Helsinki,1,01,Uusimaa
00920,Myllypuro,091,Helsinki,1,01,Uusimaa
00930,Itäkeskus - Marjaniemi,091,Helsinki,1,01,Uusimaa
00940,Kontula - Vesala - Kivikko,091,Helsinki,1,01,Uusimaa
00950,Vartioharju,091,Helsinki,1,01,Uusimaa
00960,Pohjois-Vuosaari,091,Helsinki,1,01,Uusimaa
00970,Mellunmäki,091,Helsinki,1,01,Uusimaa
00980,Etelä-Vuosaari,091,Helsinki,1,01,Uusimaa
00990,Aurinkolahti,091,Helsinki,1,01,Uusimaa
01120,Västerskog,753,Sipoo,1,01,Uusimaa
01150,Söderkulla,753,Sipoo,1,01,Uusimaa
01180,Kalkkiranta,753,Sipoo,1,01,Uusimaa
01190,Box,753,Sipoo,1,01,Uusimaa
01200,Hakunila,092,Vantaa,1,01,Uusimaa
01230,Vaarala,092,Vantaa,1,01,Uusimaa
01260,Itä-Hakkila,092,Vantaa,1,01,Uusimaa
01280,Länsimäki,092,Vantaa,1,01,Uusimaa
01300,Tikkurila,092,Vantaa,1,01,Uusimaa
01340,Leinelä,092,Vantaa,1,01,Uusimaa
01350,Hiekkaharju,092,Vantaa,1,01,Uusimaa
01360,Koivukylä-Havukoski,092,Vantaa,1,01,Uusimaa
01370,Jokiniemi,092,Vantaa,1,01,Uusimaa
01380,Kuusikko-Hakkila,092,Vantaa,1,01,Uusimaa
01390,Ruskeasanta-Ilola,092,Vantaa,1,01,Uusimaa
01400,Rekola,092,Vantaa,1,01,Uusimaa
01420,Päiväkumpu,092,Vantaa,1,01,Uusimaa
01450,Korso,092,Vantaa,1,01,Uusimaa
01480,Mikkola,092,Vantaa,1,01,Uusimaa
01490,Nikinmäki,092,Vantaa,1,01,Uusimaa
01510,Kirkonkylä-Veromäki,092,Vantaa,1,01,Uusimaa
01520,Tammisto,092,Vantaa,1,01,Uusimaa
01530,Veromiehenkylä,092,Vantaa,1,01,Uusimaa
01600,Myyrmäki,092,Vantaa,1,01,Uusimaa
01610,Kaivoksela,092,Vantaa,1,01,Uusimaa
01620,Martinlaakso,092,Vantaa,1,01,Uusimaa
01630,Hämeenkylä,092,Vantaa,1,01,Uusimaa
01640,Hämevaara,092,Vantaa,1,01,Uusimaa
01650,Vapaala,092,Vantaa,1,01,Uusimaa
01660,Varisto,092,Vantaa,1,01,Uusimaa
01670,Vantaanlaakso,092,Vantaa,1,01,Uusimaa
01680,Askisto,092,Vantaa,1,01,Uusimaa
01690,Ylästö,092,Vantaa,1,01,Uusimaa
01700,Kivistö,092,Vantaa,1,01,Uusimaa
01710,Pähkinärinne,092,Vantaa,1,01,Uusimaa
01720,Petikko,092,Vantaa,1,01,Uusimaa
01730,Vantaanpuisto,092,Vantaa,1,01,Uusimaa
01740,Tuupakan teollisuusalue,092,Vantaa,1,01,Uusimaa
01750,Keimola,092,Vantaa,1,01,Uusimaa
01760,Seutula,092,Vantaa,1,01,Uusimaa
01770,Martinlaakson teollisuusalue,092,Vantaa,1,01,Uusimaa
01800,Klaukkala Keskus,543,Nurmijärvi,1,01,Uusimaa
01810,Luhtajoki,543,Nurmijärvi,1,01,Uusimaa
01820,Haikala,543,Nurmijärvi,1,01,Uusimaa
01830,Lepsämä,543,Nurmijärvi,1,01,Uusimaa
01840,Klaukkala,543,Nurmijärvi,1,01,Uusimaa
01860,Perttula,543,Nurmijärvi,1,01,Uusimaa
01900,Nurmijärvi Keskus,543,Nurmijärvi,1,01,Uusimaa
01940,Palojoki,543,Nurmijärvi,1,01,Uusimaa
02100,Tapiola,049,Espoo,1,01,Uusimaa
02110,Otsolahti,049,Espoo,1,01,Uusimaa
02120,Länsikorkee-Suvikumpu,049,Espoo,1,01,Uusimaa
02130,Pohjois-Tapiola,049,Espoo,1,01,Uusimaa
02140,Laajalahti,049,Espoo,1,01,Uusimaa
02150,Otaniemi,049,Espoo,1,01,Uusimaa
